# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.403           	1.00695419e+00	4.94351683e-01	5.12602506e-01	1.82508236e+00	9.13949692e-01	9.11132669e-01	1.40851169e-03	-9.12541181e-03	5.03477095e-03	3.17262945e-17	5.03477095e-03	-5.03477095e-03
0.408           	1.00516511e+00	4.93444117e-01	5.11720995e-01	1.82768782e+00	9.15252226e-01	9.12435592e-01	1.40831717e-03	-9.13843909e-03	5.02582556e-03	3.17265467e-17	5.02582556e-03	-5.02582556e-03
0.413           	1.00367619e+00	4.92688916e-01	5.10987271e-01	1.82983553e+00	9.16325963e-01	9.13509567e-01	1.40819809e-03	-9.14917765e-03	5.01838094e-03	3.17284069e-17	5.01838094e-03	-5.01838094e-03
0.418           	1.00157174e+00	4.91624754e-01	5.09946982e-01	1.83222278e+00	9.17519566e-01	9.14703219e-01	1.40817389e-03	-9.16111392e-03	5.00785868e-03	3.17481598e-17	5.00785868e-03	-5.00785868e-03
0.423           	9.99995241e-01	4.90825796e-01	5.09169445e-01	1.83436493e+00	9.18590715e-01	9.15774216e-01	1.40824964e-03	-9.17182465e-03	4.99997621e-03	3.17596712e-17	4.99997621e-03	-4.99997621e-03
0.428           	9.98072703e-01	4.89852854e-01	5.08219848e-01	1.83669944e+00	9.19758160e-01	9.16941281e-01	1.40843986e-03	-9.18349721e-03	4.99036351e-03	3.17562962e-17	4.99036351e-03	-4.99036351e-03
0.433           	9.96541716e-01	4.89076807e-01	5.07464909e-01	1.83881026e+00	9.20813868e-01	9.17996391e-01	1.40873870e-03	-9.19405130e-03	4.98270858e-03	3.17572364e-17	4.98270858e-03	-4.98270858e-03
0.438           	9.94413432e-01	4.88002395e-01	5.06411037e-01	1.84086421e+00	9.21841261e-01	9.19022945e-01	1.40915782e-03	-9.20432103e-03	4.97206716e-03	3.17640825e-17	4.97206716e-03	-4.97206716e-03
0.443           	9.92834391e-01	4.87204055e-01	5.05630336e-01	1.84262816e+00	9.22723780e-01	9.19904381e-01	1.40969967e-03	-9.21314081e-03	4.96417196e-03	3.17693815e-17	4.96417196e-03	-4.96417196e-03
0.448           	9.91089988e-01	4.86322242e-01	5.04767747e-01	1.84455053e+00	9.23685638e-01	9.20864890e-01	1.41037429e-03	-9.22275264e-03	4.95544994e-03	3.17727618e-17	4.95544994e-03	-4.95544994e-03
0.453           	9.89378658e-01	4.85457340e-01	5.03921318e-01	1.84639783e+00	9.24610095e-01	9.21787734e-01	1.41118021e-03	-9.23198915e-03	4.94689329e-03	3.17837941e-17	4.94689329e-03	-4.94689329e-03
0.458           	9.87489813e-01	4.84504035e-01	5.02985778e-01	1.84817424e+00	9.25499242e-01	9.22674998e-01	1.41212235e-03	-9.24087120e-03	4.93744907e-03	3.17687464e-17	4.93744907e-03	-4.93744907e-03
0.463           	9.85752481e-01	4.83627009e-01	5.02125472e-01	1.84984636e+00	9.26336387e-01	9.23509975e-01	1.41320605e-03	-9.24923181e-03	4.92876241e-03	3.17825294e-17	4.92876241e-03	-4.92876241e-03
0.468           	9.84068795e-01	4.82777540e-01	5.01291254e-01	1.85137142e+00	9.27100141e-01	9.24271279e-01	1.41443113e-03	-9.25685710e-03	4.92034397e-03	3.17840018e-17	4.92034397e-03	-4.92034397e-03
0.473           	9.82718907e-01	4.82095633e-01	5.00623274e-01	1.85276407e+00	9.27797828e-01	9.24966238e-01	1.41579503e-03	-9.26382033e-03	4.91359453e-03	3.17867594e-17	4.91359453e-03	-4.91359453e-03
0.478           	9.81045449e-01	4.81253022e-01	4.99792428e-01	1.85394059e+00	9.28387596e-01	9.25552991e-01	1.41730274e-03	-9.26970294e-03	4.90522725e-03	3.17903182e-17	4.90522725e-03	-4.90522725e-03
0.483           	9.79457542e-01	4.80452776e-01	4.99004766e-01	1.85519900e+00	9.29018460e-01	9.26180539e-01	1.41896047e-03	-9.27599500e-03	4.89728771e-03	3.17798664e-17	4.89728771e-03	-4.89728771e-03
0.488           	9.77877003e-01	4.79656116e-01	4.98220887e-01	1.85647710e+00	9.29659322e-01	9.26817774e-01	1.42077370e-03	-9.28238548e-03	4.88938502e-03	3.17922830e-17	4.88938502e-03	-4.88938502e-03
0.493           	9.76301357e-01	4.78861963e-01	4.97439394e-01	1.85774319e+00	9.30294342e-01	9.27448843e-01	1.42274981e-03	-9.28871593e-03	4.88150678e-03	3.17979995e-17	4.88150678e-03	-4.88150678e-03
0.498           	9.74840603e-01	4.78125858e-01	4.96714745e-01	1.85888874e+00	9.30869258e-01	9.28019480e-01	1.42488915e-03	-9.29444369e-03	4.87420302e-03	3.18005051e-17	4.87420302e-03	-4.87420302e-03
0.503           	9.73282161e-01	4.77341253e-01	4.95940908e-01	1.85996560e+00	9.31409993e-01	9.28555602e-01	1.42719577e-03	-9.29982798e-03	4.86641081e-03	3.18108278e-17	4.86641081e-03	-4.86641081e-03
0.508           	9.71842796e-01	4.76616075e-01	4.95226721e-01	1.86106461e+00	9.31961987e-01	9.29102628e-01	1.42967961e-03	-9.30532307e-03	4.85921398e-03	3.18265175e-17	4.85921398e-03	-4.85921398e-03
0.513           	9.70306070e-01	4.75841906e-01	4.94464164e-01	1.86222582e+00	9.32545248e-01	9.29680570e-01	1.43233868e-03	-9.31112909e-03	4.85153035e-03	3.18429827e-17	4.85153035e-03	-4.85153035e-03
0.518           	9.68684180e-01	4.75024809e-01	4.93659371e-01	1.86345613e+00	9.33163250e-01	9.30292883e-01	1.43518348e-03	-9.31728066e-03	4.84342090e-03	3.18517585e-17	4.84342090e-03	-4.84342090e-03
0.523           	9.66832570e-01	4.74094246e-01	4.92738325e-01	1.86440791e+00	9.33642164e-01	9.30765742e-01	1.43821120e-03	-9.32203953e-03	4.83416285e-03	3.18602772e-17	4.83416285e-03	-4.83416285e-03
0.528           	9.65119263e-01	4.73232726e-01	4.91886537e-01	1.86538111e+00	9.34131985e-01	9.31249129e-01	1.44142847e-03	-9.32690557e-03	4.82559631e-03	3.18826807e-17	4.82559631e-03	-4.82559631e-03
0.533           	9.63662663e-01	4.72497685e-01	4.91164978e-01	1.86672928e+00	9.34809477e-01	9.31919806e-01	1.44483573e-03	-9.33364642e-03	4.81831332e-03	3.18829195e-17	4.81831332e-03	-4.81831332e-03
0.538           	9.62126793e-01	4.71723442e-01	4.90403350e-01	1.86799077e+00	9.35443815e-01	9.32546950e-01	1.44843244e-03	-9.33995383e-03	4.81063396e-03	3.18856535e-17	4.81063396e-03	-4.81063396e-03
0.543           	9.60315682e-01	4.70812495e-01	4.89503187e-01	1.86906928e+00	9.35986847e-01	9.33082432e-01	1.45220757e-03	-9.34534639e-03	4.80157841e-03	3.18870666e-17	4.80157841e-03	-4.80157841e-03
0.548           	9.58457342e-01	4.69876899e-01	4.88580443e-01	1.87035436e+00	9.36633352e-01	9.33721007e-01	1.45617266e-03	-9.35177180e-03	4.79228671e-03	3.19524655e-17	4.79228671e-03	-4.79228671e-03
0.553           	9.56580048e-01	4.68931619e-01	4.87648429e-01	1.87168091e+00	9.37300780e-01	9.34380125e-01	1.46032723e-03	-9.35840453e-03	4.78290024e-03	3.19497072e-17	4.78290024e-03	-4.78290024e-03
0.558           	9.54943021e-01	4.68106364e-01	4.86836656e-01	1.87302922e+00	9.37979286e-01	9.35049939e-01	1.46467349e-03	-9.36514612e-03	4.77471510e-03	3.19459563e-17	4.77471510e-03	-4.77471510e-03
0.563           	9.53327822e-01	4.67291810e-01	4.86036012e-01	1.87442017e+00	9.38679301e-01	9.35740869e-01	1.46921578e-03	-9.37210085e-03	4.76663911e-03	3.19412150e-17	4.76663911e-03	-4.76663911e-03
0.568           	9.51421272e-01	4.66331329e-01	4.85089943e-01	1.87586142e+00	9.39404670e-01	9.36456751e-01	1.47395986e-03	-9.37930711e-03	4.75710636e-03	3.19243929e-17	4.75710636e-03	-4.75710636e-03
0.573           	9.49484055e-01	4.65355472e-01	4.84128582e-01	1.87731096e+00	9.40134384e-01	9.37176578e-01	1.47890303e-03	-9.38655481e-03	4.74742027e-03	3.19252956e-17	4.74742027e-03	-4.74742027e-03
0.578           	9.47715430e-01	4.64461784e-01	4.83253646e-01	1.87918619e+00	9.41077133e-01	9.38109057e-01	1.48403786e-03	-9.39593095e-03	4.73857715e-03	3.19249768e-17	4.73857715e-03	-4.73857715e-03
0.583           	9.46056799e-01	4.63623484e-01	4.82433315e-01	1.88098313e+00	9.41980916e-01	9.39002211e-01	1.48935256e-03	-9.40491564e-03	4.73028400e-03	3.19164488e-17	4.73028400e-03	-4.73028400e-03
0.588           	9.44128604e-01	4.62651215e-01	4.81477390e-01	1.88261750e+00	9.42803596e-01	9.39813904e-01	1.49484596e-03	-9.41308750e-03	4.72064302e-03	3.19225364e-17	4.72064302e-03	-4.72064302e-03
0.593           	9.42338479e-01	4.61749073e-01	4.80589406e-01	1.88403331e+00	9.43517186e-01	9.40516123e-01	1.50053157e-03	-9.42016654e-03	4.71169239e-03	3.19243647e-17	4.71169239e-03	-4.71169239e-03
0.598           	9.40501301e-01	4.60823250e-01	4.79678051e-01	1.88548018e+00	9.44246497e-01	9.41233682e-01	1.50640715e-03	-9.42740089e-03	4.70250650e-03	3.18377679e-17	4.70250650e-03	-4.70250650e-03
0.603           	9.38544673e-01	4.59835676e-01	4.78708997e-01	1.88733217e+00	9.45178599e-01	9.42153573e-01	1.51251328e-03	-9.43666086e-03	4.69272337e-03	3.18333808e-17	4.69272337e-03	-4.69272337e-03
0.608           	9.36874632e-01	4.58993420e-01	4.77881212e-01	1.88877917e+00	9.45908450e-01	9.42870715e-01	1.51886749e-03	-9.44389583e-03	4.68437316e-03	3.18324130e-17	4.68437316e-03	-4.68437316e-03
0.613           	9.34989188e-01	4.58042761e-01	4.76946427e-01	1.89036660e+00	9.46708739e-01	9.43657859e-01	1.52543994e-03	-9.45183299e-03	4.67494594e-03	3.18325036e-17	4.67494594e-03	-4.67494594e-03
0.618           	9.33137611e-01	4.57109744e-01	4.76027867e-01	1.89181228e+00	9.47438350e-01	9.44373927e-01	1.53221177e-03	-9.45906139e-03	4.66568806e-03	3.18493977e-17	4.66568806e-03	-4.66568806e-03
0.623           	9.30980923e-01	4.56022505e-01	4.74958418e-01	1.89359132e+00	9.48334840e-01	9.45256483e-01	1.53917863e-03	-9.46795661e-03	4.65490462e-03	3.18364047e-17	4.65490462e-03	-4.65490462e-03
0.628           	9.29222289e-01	4.55135509e-01	4.74086780e-01	1.89512711e+00	9.49109882e-01	9.46017229e-01	1.54632680e-03	-9.47563556e-03	4.64611144e-03	3.18372953e-17	4.64611144e-03	-4.64611144e-03
0.633           	9.27420563e-01	4.54229286e-01	4.73191278e-01	1.89619924e+00	9.49653270e-01	9.46545973e-01	1.55364866e-03	-9.48099622e-03	4.63710282e-03	3.18355390e-17	4.63710282e-03	-4.63710282e-03
0.638           	9.25922948e-01	4.53475035e-01	4.72447913e-01	1.89728785e+00	9.50205073e-01	9.47082781e-01	1.56114594e-03	-9.48643927e-03	4.62961474e-03	3.18408456e-17	4.62961474e-03	-4.62961474e-03
0.643           	9.24275279e-01	4.52644740e-01	4.71630539e-01	1.89857987e+00	9.50858736e-01	9.47721134e-01	1.56880100e-03	-9.49289935e-03	4.62137640e-03	3.18425305e-17	4.62137640e-03	-4.62137640e-03
0.648           	9.22633868e-01	4.51818871e-01	4.70814998e-01	1.89961271e+00	9.51382954e-01	9.48229752e-01	1.57660134e-03	-9.49806353e-03	4.61316934e-03	3.18431427e-17	4.61316934e-03	-4.61316934e-03
0.653           	9.20716822e-01	4.50854936e-01	4.69861886e-01	1.90069502e+00	9.51932065e-01	9.48762959e-01	1.58455289e-03	-9.50347512e-03	4.60358411e-03	3.18551600e-17	4.60358411e-03	-4.60358411e-03
0.658           	9.19034816e-01	4.50008777e-01	4.69026039e-01	1.90172614e+00	9.52455703e-01	9.49270437e-01	1.59263285e-03	-9.50863070e-03	4.59517408e-03	3.18543657e-17	4.59517408e-03	-4.59517408e-03
0.663           	9.17185213e-01	4.49078770e-01	4.68106443e-01	1.90276737e+00	9.52984507e-01	9.49782860e-01	1.60082386e-03	-9.51383684e-03	4.58592607e-03	3.18357459e-17	4.58592607e-03	-4.58592607e-03
0.668           	9.15351249e-01	4.48157119e-01	4.67194130e-01	1.90370116e+00	9.53459716e-01	9.50241441e-01	1.60913755e-03	-9.51850579e-03	4.57675624e-03	3.18342883e-17	4.57675624e-03	-4.57675624e-03
0.673           	9.13536916e-01	4.47244735e-01	4.66292181e-01	1.90474452e+00	9.53989831e-01	9.50754685e-01	1.61757312e-03	-9.52372258e-03	4.56768458e-03	3.18338506e-17	4.56768458e-03	-4.56768458e-03
0.678           	9.11949937e-01	4.46446583e-01	4.65503355e-01	1.90567723e+00	9.54464727e-01	9.51212499e-01	1.62611385e-03	-9.52838613e-03	4.55974969e-03	3.18301307e-17	4.55974969e-03	-4.55974969e-03
0.683           	9.10281535e-01	4.45608352e-01	4.64673183e-01	1.90648316e+00	9.54876341e-01	9.51606818e-01	1.63476150e-03	-9.53241579e-03	4.55140768e-03	3.18352724e-17	4.55140768e-03	-4.55140768e-03
0.688           	9.08626536e-01	4.44778879e-01	4.63847657e-01	1.90687772e+00	9.55082393e-01	9.51795331e-01	1.64353093e-03	-9.53438862e-03	4.54313268e-03	3.18381576e-17	4.54313268e-03	-4.54313268e-03
0.693           	9.06998724e-01	4.43963093e-01	4.63035630e-01	1.90725367e+00	9.55279240e-01	9.51974434e-01	1.65240274e-03	-9.53626837e-03	4.53499362e-03	3.18419938e-17	4.53499362e-03	-4.53499362e-03
0.698           	9.05174815e-01	4.43051206e-01	4.62123609e-01	1.90724030e+00	9.55281503e-01	9.51958800e-01	1.66135149e-03	-9.53620151e-03	4.52587408e-03	3.18387708e-17	4.52587408e-03	-4.52587408e-03
0.703           	9.03547537e-01	4.42237297e-01	4.61310240e-01	1.90729423e+00	9.55317483e-01	9.51976750e-01	1.67036646e-03	-9.53647116e-03	4.51773769e-03	3.18563786e-17	4.51773769e-03	-4.51773769e-03
0.708           	9.02020159e-01	4.41473579e-01	4.60546580e-01	1.90730007e+00	9.55329475e-01	9.51970597e-01	1.67943885e-03	-9.53650036e-03	4.51010080e-03	3.18291770e-17	4.51010080e-03	-4.51010080e-03
