# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
6e-08           	3.49522822e+07	1.74464931e+07	1.75057891e+07	5.92960184e+04	2.96480044e+04	2.96480140e+04	-4.77594051e-03	-2.96480092e+04	1.74761411e+07	8.11046407e-14	1.74761411e+07	-1.74761411e+07
1.32e-07        	-1.61947650e+07	-8.08174432e+06	-8.11302063e+06	-3.12763135e+04	-1.56381629e+04	-1.56381507e+04	-6.11709579e-03	1.56381568e+04	-8.09738248e+06	8.49380025e-14	-8.09738248e+06	8.09738248e+06
2.184e-07       	-4.94960952e+05	-2.53515227e+05	-2.41445725e+05	1.20695015e+04	6.03474425e+03	6.03475727e+03	-6.50888781e-03	-6.03475076e+03	-2.47480476e+05	9.52391901e-15	-2.47480476e+05	2.47480476e+05
3.2208e-07      	-5.76618034e+04	-4.36450569e+04	-1.40167465e+04	2.96283103e+04	1.48141484e+04	1.48141620e+04	-6.78782555e-03	-1.48141552e+04	-2.88309017e+04	-3.70098492e-15	-2.88309017e+04	2.88309017e+04
4.46496e-07     	5.43538556e+03	-1.74590552e+03	7.18129108e+03	8.92719660e+03	4.46359128e+03	4.46360532e+03	-7.01773555e-03	-4.46359830e+03	2.71769278e+03	-1.06601525e-15	2.71769278e+03	-2.71769278e+03
5.957952e-07    	3.94592473e+03	4.32881267e+03	-3.82887938e+02	-4.71170060e+03	-2.35585749e+03	-2.35584312e+03	-7.18646078e-03	2.35585030e+03	1.97296236e+03	4.63742490e-16	1.97296236e+03	-1.97296236e+03
7.7495424e-07   	4.51828382e+03	4.80975287e+03	-2.91469052e+02	-5.10122193e+03	-2.55061828e+03	-2.55060365e+03	-7.31733512e-03	2.55061096e+03	2.25914191e+03	4.28046996e-16	2.25914191e+03	-2.25914191e+03
9.8994508e-07   	4.45989054e+03	3.04132031e+03	1.41857022e+03	-1.62275009e+03	-8.11382476e+02	-8.11367618e+02	-7.42914093e-03	8.11375047e+02	2.22994527e+03	1.22323292e-16	2.22994527e+03	-2.22994527e+03
1.2479341e-06   	3.22228241e+03	1.28481913e+03	1.93746328e+03	6.52644154e+02	3.26314552e+02	3.26329602e+02	-7.52519984e-03	-3.26322077e+02	1.61114120e+03	-3.53618653e-17	1.61114120e+03	-1.61114120e+03
1.5575209e-06   	1.98419751e+03	3.07063210e+02	1.67713430e+03	1.37007109e+03	6.85027938e+02	6.85043152e+02	-7.60718440e-03	-6.85035545e+02	9.92098755e+02	-6.88394904e-17	9.92098755e+02	-9.92098755e+02
1.9290251e-06   	1.24712870e+03	1.58377847e+02	1.08875085e+03	9.30373001e+02	4.65178823e+02	4.65194177e+02	-7.67700165e-03	-4.65186500e+02	6.23564348e+02	-4.66061277e-17	6.23564348e+02	-6.23564348e+02
2.3748301e-06   	9.30033894e+02	2.14843861e+02	7.15190032e+02	5.00346171e+02	2.50165349e+02	2.50180822e+02	-7.73674443e-03	-2.50173085e+02	4.65016947e+02	-2.91563765e-17	4.65016947e+02	-4.65016947e+02
2.9097961e-06   	7.37862140e+02	2.61592000e+02	4.76270140e+02	2.14678140e+02	1.07331282e+02	1.07346858e+02	-7.78830508e-03	-1.07339070e+02	3.68931070e+02	-1.81043250e-17	3.68931070e+02	-3.68931070e+02
3.5517553e-06   	5.91440370e+02	2.52027981e+02	3.39412390e+02	8.73844094e+01	4.36843709e+01	4.37000385e+01	-7.83379478e-03	-4.36922047e+01	2.95720185e+02	-1.23526505e-17	2.95720185e+02	-2.95720185e+02
4.3221064e-06   	4.60245565e+02	2.08169868e+02	2.52075697e+02	4.39058288e+01	2.19450399e+01	2.19607889e+01	-7.87451848e-03	-2.19529144e+01	2.30122783e+02	-9.19497307e-18	2.30122783e+02	-2.30122783e+02
5.2465277e-06   	3.51283088e+02	1.60946254e+02	1.90336835e+02	2.93905811e+01	1.46873796e+01	1.47032015e+01	-7.91096494e-03	-1.46952906e+01	1.75641544e+02	-7.29381234e-18	1.75641544e+02	-1.75641544e+02
6.3558332e-06   	2.67235533e+02	1.21893603e+02	1.45341930e+02	2.34483266e+01	1.17162196e+01	1.17321070e+01	-7.94372160e-03	-1.17241633e+01	1.33617767e+02	-5.89499105e-18	1.33617767e+02	-1.33617767e+02
7.6869998e-06   	2.04439937e+02	9.21526719e+01	1.12287266e+02	2.01345937e+01	1.00593235e+01	1.00752702e+01	-7.97335966e-03	-1.00672968e+01	1.02219969e+02	-4.82267029e-18	1.02219969e+02	-1.02219969e+02
9.2843998e-06   	1.57275013e+02	7.00520506e+01	8.72229626e+01	1.71709121e+01	8.57745571e+00	8.59345635e+00	-8.00031730e-03	-8.58545603e+00	7.86375066e+01	-3.90780693e-18	7.86375066e+01	-7.86375066e+01
