# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	1.19047910e+02	5.95238570e+01	5.95240526e+01	1.95610115e-02	9.19340596e-03	1.03676055e-02	-5.87099772e-04	-9.78050573e-05	5.95239548e-01	-1.40512461e-16	5.95239548e-01	-5.95239548e-01
2               	1.20473196e+02	6.02319135e+01	6.02412822e+01	9.36869780e-01	4.68057792e-01	4.68811987e-01	-3.77097430e-04	-4.68434890e-03	6.02365979e-01	-1.10622369e-16	6.02365979e-01	-6.02365979e-01
3               	1.09991126e+02	5.49893599e+01	5.50017660e+01	1.24061005e+00	6.20081343e-01	6.20528711e-01	-2.23684401e-04	-6.20305027e-03	5.49955630e-01	-9.74473881e-17	5.49955630e-01	-5.49955630e-01
4               	6.28342680e+01	3.14166340e+01	3.14176340e+01	9.99960431e-02	4.98844951e-02	5.01115480e-02	-1.13526476e-04	-4.99980215e-04	3.14171340e-01	-7.17101137e-17	3.14171340e-01	-3.14171340e-01
5               	3.05028206e+00	1.52850461e+00	1.52177744e+00	-6.72717244e-01	-3.36409462e-01	-3.36307782e-01	-5.08400601e-05	3.36358622e-03	1.52514103e-02	-5.12360547e-17	1.52514103e-02	-1.52514103e-02
6               	-3.99388872e+01	-1.99648455e+01	-1.99740417e+01	-9.19614545e-01	-4.59846370e-01	-4.59768175e-01	-3.90972890e-05	4.59807272e-03	-1.99694436e-01	-5.05947038e-17	-1.99694436e-01	1.99694436e-01
7               	-5.28756019e+01	-2.64334360e+01	-2.64421659e+01	-8.72987770e-01	-4.36556935e-01	-4.36430835e-01	-6.30497746e-05	4.36493885e-03	-2.64378010e-01	-4.32657979e-17	-2.64378010e-01	2.64378010e-01
8               	-3.92940645e+01	-1.96437913e+01	-1.96502731e+01	-6.48178186e-01	-3.24172373e-01	-3.24005812e-01	-8.32804456e-05	3.24089093e-03	-1.96470322e-01	-4.03707469e-17	-1.96470322e-01	1.96470322e-01
9               	-1.27663129e+01	-6.38136390e+00	-6.38494901e+00	-3.58511025e-01	-1.79351783e-01	-1.79159241e-01	-9.62710126e-05	1.79255512e-03	-6.38315646e-02	-3.79881013e-17	-6.38315646e-02	6.38315646e-02
10              	1.15061691e+01	5.75349684e+00	5.75267222e+00	-8.24622364e-02	-4.13116632e-02	-4.11505732e-02	-8.05450157e-05	4.12311182e-04	5.75308453e-02	-3.72663450e-17	5.75308453e-02	-5.75308453e-02
