# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
15.001414       	1.20172115e+00	3.08915172e-01	8.92805973e-01	5.83890802e-01	2.93555975e-01	2.90334826e-01	1.61057463e-03	-2.91945401e-01	6.00860573e-01	1.86031205e-20	6.00860573e-01	-6.00860573e-01
15.002827       	1.21456267e+00	3.15503597e-01	8.99059075e-01	5.83555478e-01	2.93387485e-01	2.90167994e-01	1.60974550e-03	-2.91777739e-01	6.07281336e-01	1.89120450e-20	6.07281336e-01	-6.07281336e-01
15.004239       	1.21827119e+00	3.18327292e-01	8.99943901e-01	5.81616609e-01	2.92417334e-01	2.89199275e-01	1.60902988e-03	-2.90808305e-01	6.09135596e-01	1.92294973e-20	6.09135596e-01	-6.09135596e-01
15.005654       	1.21084288e+00	3.16603030e-01	8.94239851e-01	5.77636821e-01	2.90427107e-01	2.87209715e-01	1.60869603e-03	-2.88818411e-01	6.05421441e-01	1.94243368e-20	6.05421441e-01	-6.05421441e-01
15.00707        	1.19395648e+00	3.10895633e-01	8.83060849e-01	5.72165216e-01	2.87691474e-01	2.84473742e-01	1.60886627e-03	-2.86082608e-01	5.96978241e-01	1.94802656e-20	5.96978241e-01	-5.96978241e-01
15.008489       	1.17256754e+00	3.02970237e-01	8.69597303e-01	5.66627066e-01	2.84922998e-01	2.81704068e-01	1.60946537e-03	-2.83313533e-01	5.86283770e-01	1.93568992e-20	5.86283770e-01	-5.86283770e-01
15.009907       	1.15327916e+00	2.95168730e-01	8.58110433e-01	5.62941703e-01	2.83081184e-01	2.79860519e-01	1.61033243e-03	-2.81470851e-01	5.76639582e-01	1.91158721e-20	5.76639582e-01	-5.76639582e-01
15.011326       	1.14260302e+00	2.89841986e-01	8.52761038e-01	5.62919052e-01	2.83070679e-01	2.79848373e-01	1.61115343e-03	-2.81459526e-01	5.71301512e-01	1.88258709e-20	5.71301512e-01	-5.71301512e-01
15.012742       	1.14466139e+00	2.88771179e-01	8.55890210e-01	5.67119031e-01	2.85171124e-01	2.81947907e-01	1.61160852e-03	-2.83559516e-01	5.72330695e-01	1.85712102e-20	5.72330695e-01	-5.72330695e-01
15.014158       	1.15979050e+00	2.92580796e-01	8.67209699e-01	5.74628903e-01	2.88925958e-01	2.85702945e-01	1.61150673e-03	-2.87314451e-01	5.79895248e-01	1.84228732e-20	5.79895248e-01	-5.79895248e-01
15.015575       	1.18445372e+00	3.00580842e-01	8.83872878e-01	5.83292036e-01	2.93256834e-01	2.90035201e-01	1.61081644e-03	-2.91646018e-01	5.92226860e-01	1.84451455e-20	5.92226860e-01	-5.92226860e-01
15.016993       	1.21232061e+00	3.11048601e-01	9.01272008e-01	5.90223406e-01	2.96721368e-01	2.93502038e-01	1.60966506e-03	-2.95111703e-01	6.06160305e-01	1.85816744e-20	6.06160305e-01	-6.06160305e-01
15.01841        	1.23606969e+00	3.21663191e-01	9.14406500e-01	5.92743309e-01	2.97980051e-01	2.94763258e-01	1.60839678e-03	-2.96371655e-01	6.18034846e-01	1.88686108e-20	6.18034846e-01	-6.18034846e-01
15.019826       	1.24947773e+00	3.29917674e-01	9.19560053e-01	5.89642379e-01	2.96428600e-01	2.93213778e-01	1.60741117e-03	-2.94821189e-01	6.24738864e-01	1.91280604e-20	6.24738864e-01	-6.24738864e-01
15.021243       	1.24956568e+00	3.34099030e-01	9.15466650e-01	5.81367620e-01	2.92290782e-01	2.89076838e-01	1.60697218e-03	-2.90683810e-01	6.24782840e-01	1.93144849e-20	6.24782840e-01	-6.24782840e-01
15.022659       	1.23792552e+00	3.33813048e-01	9.04112475e-01	5.70299427e-01	2.86756969e-01	2.83542458e-01	1.60725586e-03	-2.85149714e-01	6.18962761e-01	1.93829010e-20	6.18962761e-01	-6.18962761e-01
15.024078       	1.21880726e+00	3.29471725e-01	8.89335539e-01	5.59863814e-01	2.81540104e-01	2.78323710e-01	1.60819731e-03	-2.79931907e-01	6.09403632e-01	1.93111009e-20	6.09403632e-01	-6.09403632e-01
