# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1501            	1.76012418e+00	8.83762196e-01	8.76361983e-01	-7.40021270e-01	-3.69985217e-01	-3.70036052e-01	2.54175038e-05	3.70010635e-03	8.80062089e-03	5.66284897e-17	8.80062089e-03	-8.80062089e-03
1502            	1.76075350e+00	8.84065207e-01	8.76688293e-01	-7.37691471e-01	-3.68816925e-01	-3.68874546e-01	2.88105504e-05	3.68845736e-03	8.80376750e-03	5.66305398e-17	8.80376750e-03	-8.80376750e-03
1503            	1.75900871e+00	8.83187732e-01	8.75820980e-01	-7.36675232e-01	-3.68305396e-01	-3.68369837e-01	3.22205439e-05	3.68337616e-03	8.79504356e-03	5.66343571e-17	8.79504356e-03	-8.79504356e-03
1504            	1.76092855e+00	8.84147812e-01	8.76780738e-01	-7.36707438e-01	-3.68318069e-01	-3.68389369e-01	3.56499137e-05	3.68353719e-03	8.80464275e-03	5.66336765e-17	8.80464275e-03	-8.80464275e-03
1505            	1.76092773e+00	8.84145830e-01	8.76781901e-01	-7.36392864e-01	-3.68157334e-01	-3.68235530e-01	3.90982076e-05	3.68196432e-03	8.80463866e-03	5.66345757e-17	8.80463866e-03	-8.80463866e-03
1506            	1.76125979e+00	8.84307063e-01	8.76952732e-01	-7.35433092e-01	-3.67673981e-01	-3.67759111e-01	4.25646271e-05	3.67716546e-03	8.80629897e-03	5.66353885e-17	8.80629897e-03	-8.80629897e-03
1507            	1.76266464e+00	8.85006256e-01	8.77658382e-01	-7.34787429e-01	-3.67347666e-01	-3.67439764e-01	4.60489514e-05	3.67393715e-03	8.81332319e-03	5.66350437e-17	8.81332319e-03	-8.81332319e-03
1508            	1.76349118e+00	8.85415398e-01	8.78075777e-01	-7.33962046e-01	-3.66931472e-01	-3.67030574e-01	4.95512436e-05	3.66981023e-03	8.81745588e-03	5.66353895e-17	8.81745588e-03	-8.81745588e-03
1509            	1.76349731e+00	8.85415145e-01	8.78082164e-01	-7.33298150e-01	-3.66596004e-01	-3.66702146e-01	5.30709376e-05	3.66649075e-03	8.81748655e-03	5.66365635e-17	8.81748655e-03	-8.81748655e-03
1510            	1.76397943e+00	8.85653233e-01	8.78326200e-01	-7.32703306e-01	-3.66295045e-01	-3.66408261e-01	5.66081269e-05	3.66351653e-03	8.81989717e-03	5.66373261e-17	8.81989717e-03	-8.81989717e-03
1511            	1.76556889e+00	8.86445264e-01	8.79123621e-01	-7.32164293e-01	-3.66021983e-01	-3.66142309e-01	6.01629899e-05	3.66082146e-03	8.82784443e-03	5.66367758e-17	8.82784443e-03	-8.82784443e-03
1512            	1.76654072e+00	8.86926951e-01	8.79613769e-01	-7.31318180e-01	-3.65595355e-01	-3.65722825e-01	6.37352172e-05	3.65659090e-03	8.83270360e-03	5.66368647e-17	8.83270360e-03	-8.83270360e-03
1513            	1.76654008e+00	8.86922907e-01	8.79617176e-01	-7.30573091e-01	-3.65219222e-01	-3.65353870e-01	6.73241054e-05	3.65286546e-03	8.83270041e-03	5.66379750e-17	8.83270041e-03	-8.83270041e-03
1514            	1.76702440e+00	8.87161967e-01	8.79862433e-01	-7.29953343e-01	-3.64905742e-01	-3.65047601e-01	7.09296343e-05	3.64976671e-03	8.83512200e-03	5.66386008e-17	8.83512200e-03	-8.83512200e-03
1515            	1.76780733e+00	8.87549813e-01	8.80257513e-01	-7.29229988e-01	-3.64540442e-01	-3.64689546e-01	7.45518659e-05	3.64614994e-03	8.83903663e-03	5.66388420e-17	8.83903663e-03	-8.83903663e-03
1516            	1.76851690e+00	8.87900382e-01	8.80616517e-01	-7.28386479e-01	-3.64115049e-01	-3.64271430e-01	7.81905673e-05	3.64193239e-03	8.84258450e-03	5.66390891e-17	8.84258450e-03	-8.84258450e-03
