# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100             	1.69634275e-01	8.53255601e-02	8.43087150e-02	-1.01684508e-01	-5.06804760e-02	-5.10040319e-02	1.61777921e-04	5.08422539e-04	8.48171375e-04	5.76865689e-17	8.48171375e-04	-8.48171375e-04
101             	1.69604593e-01	8.53043858e-02	8.43002069e-02	-1.00417889e-01	-5.00438218e-02	-5.03740669e-02	1.65122543e-04	5.02089444e-04	8.48022964e-04	5.76863754e-17	8.48022964e-04	-8.48022964e-04
102             	1.69543155e-01	8.52671659e-02	8.42759890e-02	-9.91176849e-02	-4.93903649e-02	-4.97273200e-02	1.68477530e-04	4.95588425e-04	8.47715774e-04	5.76863272e-17	8.47715774e-04	-8.47715774e-04
103             	1.69503753e-01	8.52411013e-02	8.42626513e-02	-9.78449951e-02	-4.87506547e-02	-4.90943404e-02	1.71842858e-04	4.89224975e-04	8.47518763e-04	5.76863658e-17	8.47518763e-04	-8.47518763e-04
104             	1.69467784e-01	8.52168277e-02	8.42509564e-02	-9.65871359e-02	-4.81183491e-02	-4.84687868e-02	1.75218871e-04	4.82935679e-04	8.47338920e-04	5.76863553e-17	8.47338920e-04	-8.47338920e-04
105             	1.69431388e-01	8.51922899e-02	8.42390979e-02	-9.53191952e-02	-4.74809930e-02	-4.78382022e-02	1.78604647e-04	4.76595976e-04	8.47156939e-04	5.76864102e-17	8.47156939e-04	-8.47156939e-04
106             	1.69434655e-01	8.51875119e-02	8.42471427e-02	-9.40369163e-02	-4.68364581e-02	-4.72004582e-02	1.82000035e-04	4.70184581e-04	8.47173273e-04	5.76856552e-17	8.47173273e-04	-8.47173273e-04
107             	1.69437520e-01	8.51825999e-02	8.42549196e-02	-9.27680368e-02	-4.61986138e-02	-4.65694230e-02	1.85404610e-04	4.63840184e-04	8.47187598e-04	5.76851011e-17	8.47187598e-04	-8.47187598e-04
108             	1.69456137e-01	8.51857744e-02	8.42703623e-02	-9.15412101e-02	-4.55817866e-02	-4.59594235e-02	1.88818440e-04	4.57706051e-04	8.47280684e-04	5.76845472e-17	8.47280684e-04	-8.47280684e-04
109             	1.69497166e-01	8.52001790e-02	8.42969874e-02	-9.03191639e-02	-4.49673408e-02	-4.53518230e-02	1.92241118e-04	4.51595819e-04	8.47485832e-04	5.76838873e-17	8.47485832e-04	-8.47485832e-04
110             	1.69549476e-01	8.52202976e-02	8.43291787e-02	-8.91118949e-02	-4.43602759e-02	-4.47516190e-02	1.95671539e-04	4.45559475e-04	8.47747382e-04	5.76829511e-17	8.47747382e-04	-8.47747382e-04
111             	1.69617666e-01	8.52483538e-02	8.43693122e-02	-8.79041535e-02	-4.37529675e-02	-4.41511860e-02	1.99109214e-04	4.39520768e-04	8.48088330e-04	5.76821231e-17	8.48088330e-04	-8.48088330e-04
