# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100             	2.19617648e-01	1.09672093e-01	1.09945554e-01	2.73460983e-02	1.39192411e-02	1.34268572e-02	2.46191965e-04	-1.36730492e-04	1.09808824e-03	5.78017469e-17	1.09808824e-03	-1.09808824e-03
101             	2.18143651e-01	1.08932386e-01	1.09211265e-01	2.78878770e-02	1.41934746e-02	1.36944024e-02	2.49536132e-04	-1.39439385e-04	1.09071825e-03	5.78010058e-17	1.09071825e-03	-1.09071825e-03
102             	2.21936811e-01	1.10823499e-01	1.11113312e-01	2.89813283e-02	1.47435472e-02	1.42377811e-02	2.52883033e-04	-1.44906642e-04	1.10968406e-03	5.77964022e-17	1.10968406e-03	-1.10968406e-03
103             	2.23163521e-01	1.11432280e-01	1.11731240e-01	2.98959817e-02	1.52042231e-02	1.46917585e-02	2.56232305e-04	-1.49479908e-04	1.11581760e-03	5.77939174e-17	1.11581760e-03	-1.11581760e-03
104             	2.23240786e-01	1.11462451e-01	1.11778335e-01	3.15884177e-02	1.60537908e-02	1.55346269e-02	2.59581912e-04	-1.57942088e-04	1.11620393e-03	5.77922077e-17	1.11620393e-03	-1.11620393e-03
105             	2.21347216e-01	1.10506916e-01	1.10840300e-01	3.33384357e-02	1.69321480e-02	1.64062877e-02	2.62930144e-04	-1.66692179e-04	1.10673608e-03	5.77920431e-17	1.10673608e-03	-1.10673608e-03
106             	2.19828891e-01	1.09740045e-01	1.10088846e-01	3.48800643e-02	1.77063093e-02	1.71737550e-02	2.66277127e-04	-1.74400321e-04	1.09914446e-03	5.77917895e-17	1.09914446e-03	-1.09914446e-03
107             	2.20713925e-01	1.10170226e-01	1.10543699e-01	3.73472977e-02	1.89432714e-02	1.84040263e-02	2.69622520e-04	-1.86736489e-04	1.10356962e-03	5.77906102e-17	1.10356962e-03	-1.10356962e-03
108             	2.21106463e-01	1.10356404e-01	1.10750059e-01	3.93654107e-02	1.99556717e-02	1.94097390e-02	2.72966323e-04	-1.96827053e-04	1.10553232e-03	5.77895895e-17	1.10553232e-03	-1.10553232e-03
109             	2.22028946e-01	1.10810339e-01	1.11218607e-01	4.08268747e-02	2.06897466e-02	2.01371281e-02	2.76309247e-04	-2.04134373e-04	1.11014473e-03	5.77870990e-17	1.11014473e-03	-1.11014473e-03
