# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.77482393e-01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100.398         	1.30769412e+00	6.53982333e-01	6.53711784e-01	-2.70548863e-02	-1.38167870e-02	-1.32380993e-02	-2.89343815e-04	1.35274431e-04	6.53847059e-03	3.14352586e-17	6.53847059e-03	-6.53847059e-03
101.398         	1.41639114e+00	7.09635202e-01	7.06755938e-01	-2.87926378e-01	-1.44554692e-01	-1.43371686e-01	-5.91503157e-04	1.43963189e-03	7.08195570e-03	3.13386489e-17	7.08195570e-03	-7.08195570e-03
102.398         	1.47626592e+00	7.40284357e-01	7.35981568e-01	-4.30278894e-01	-2.15893258e-01	-2.14385637e-01	-7.53810449e-04	2.15139447e-03	7.38132962e-03	3.12860984e-17	7.38132962e-03	-7.38132962e-03
103.398         	1.51439298e+00	7.59795782e-01	7.54597201e-01	-5.19858107e-01	-2.60782900e-01	-2.59075207e-01	-8.53846385e-04	2.59929053e-03	7.57196492e-03	3.12531420e-17	7.57196492e-03	-7.57196492e-03
104.398         	1.54104577e+00	7.73429891e-01	7.67615881e-01	-5.81401017e-01	-2.91621251e-01	-2.89779766e-01	-9.20742619e-04	2.90700508e-03	7.70522886e-03	3.12306098e-17	7.70522886e-03	-7.70522886e-03
105.398         	1.56086027e+00	7.83561490e-01	7.77298783e-01	-6.26270777e-01	-3.14103283e-01	-3.12167493e-01	-9.67895186e-04	3.13135388e-03	7.80430136e-03	3.12142330e-17	7.80430136e-03	-7.80430136e-03
106.398         	1.57623179e+00	7.91417808e-01	7.84813982e-01	-6.60382557e-01	-3.31193604e-01	-3.29188953e-01	-1.00232563e-03	3.30191278e-03	7.88115895e-03	3.12020053e-17	7.88115895e-03	-7.88115895e-03
107.398         	1.58858811e+00	7.97729945e-01	7.90858166e-01	-6.87177949e-01	-3.44617044e-01	-3.42560904e-01	-1.02806984e-03	3.43588974e-03	7.94294056e-03	3.11924362e-17	7.94294056e-03	-7.94294056e-03
108.398         	1.59879472e+00	8.02941162e-01	7.95853558e-01	-7.08760378e-01	-3.55427802e-01	-3.53332576e-01	-1.04761289e-03	3.54380189e-03	7.99397360e-03	3.11850953e-17	7.99397360e-03	-7.99397360e-03
109.398         	1.60742462e+00	8.07344750e-01	8.00079866e-01	-7.26488302e-01	-3.64306721e-01	-3.62181582e-01	-1.06256947e-03	3.63244151e-03	8.03712308e-03	3.11787234e-17	8.03712308e-03	-8.03712308e-03
110.398         	1.61489240e+00	8.11152754e-01	8.03739643e-01	-7.41311076e-01	-3.71729572e-01	-3.69581504e-01	-1.07403412e-03	3.70655538e-03	8.07446198e-03	3.11735494e-17	8.07446198e-03	-8.07446198e-03
111.398         	1.62142817e+00	8.14483308e-01	8.06944866e-01	-7.53844164e-01	-3.78004857e-01	-3.75839307e-01	-1.08277509e-03	3.76922082e-03	8.10714087e-03	3.11691951e-17	8.10714087e-03	-8.10714087e-03
112.398         	1.62722060e+00	8.17433129e-01	8.09787474e-01	-7.64565504e-01	-3.83372100e-01	-3.81193404e-01	-1.08934826e-03	3.82282752e-03	8.13610302e-03	3.11661774e-17	8.13610302e-03	-8.13610302e-03
113.398         	1.63240938e+00	8.20073808e-01	8.12335568e-01	-7.73824021e-01	-3.88006175e-01	-3.85817846e-01	-1.09416438e-03	3.86912011e-03	8.16204688e-03	3.11632916e-17	8.16204688e-03	-8.16204688e-03
114.398         	1.63711337e+00	8.22466159e-01	8.14647214e-01	-7.81894530e-01	-3.92044800e-01	-3.89849730e-01	-1.09753505e-03	3.90947265e-03	8.18556686e-03	3.11608274e-17	8.18556686e-03	-8.18556686e-03
115.398         	1.64140788e+00	8.24648760e-01	8.16759117e-01	-7.88964305e-01	-3.95581853e-01	-3.93382452e-01	-1.09970082e-03	3.94482152e-03	8.20703939e-03	3.11587041e-17	8.20703939e-03	-8.20703939e-03
116.398         	1.64538658e+00	8.26669333e-01	8.18717246e-01	-7.95208761e-01	-3.98705231e-01	-3.96503530e-01	-1.10085051e-03	3.97604381e-03	8.22693290e-03	3.11568234e-17	8.22693290e-03	-8.22693290e-03
117.398         	1.64908180e+00	8.28544554e-01	8.20537249e-01	-8.00730446e-01	-4.01466357e-01	-3.99264089e-01	-1.10113411e-03	4.00365223e-03	8.24540901e-03	3.11553789e-17	8.24540901e-03	-8.24540901e-03
118.398         	1.65253939e+00	8.30297973e-01	8.22241417e-01	-8.05655610e-01	-4.03928477e-01	-4.01727132e-01	-1.10067248e-03	4.02827805e-03	8.26269695e-03	3.11537923e-17	8.26269695e-03	-8.26269695e-03
119.398         	1.65578626e+00	8.31943398e-01	8.23842860e-01	-8.10053799e-01	-4.06126464e-01	-4.03927335e-01	-1.09956438e-03	4.05026900e-03	8.27893129e-03	3.11523884e-17	8.27893129e-03	-8.27893129e-03
120.398         	1.65884776e+00	8.33493870e-01	8.25353886e-01	-8.13998393e-01	-4.08097088e-01	-4.05901305e-01	-1.09789124e-03	4.06999197e-03	8.29423878e-03	3.11513203e-17	8.29423878e-03	-8.29423878e-03
121.398         	1.66172996e+00	8.34952634e-01	8.26777328e-01	-8.17530579e-01	-4.09861011e-01	-4.07669569e-01	-1.09572089e-03	4.08765290e-03	8.30864981e-03	3.11504190e-17	8.30864981e-03	-8.30864981e-03
122.398         	1.66447056e+00	8.36338859e-01	8.28131699e-01	-8.20716036e-01	-4.11451129e-01	-4.09264908e-01	-1.09311057e-03	4.10358018e-03	8.32235279e-03	3.11492360e-17	8.32235279e-03	-8.32235279e-03
123.398         	1.66709021e+00	8.37663050e-01	8.29427160e-01	-8.23588954e-01	-4.12884586e-01	-4.10704368e-01	-1.09010883e-03	4.11794477e-03	8.33545105e-03	3.11482099e-17	8.33545105e-03	-8.33545105e-03
124.398         	1.66960917e+00	8.38935521e-01	8.30673652e-01	-8.26186849e-01	-4.14180182e-01	-4.12006668e-01	-1.08675708e-03	4.13093425e-03	8.34804587e-03	3.11472341e-17	8.34804587e-03	-8.34804587e-03
125.398         	1.67202022e+00	8.40152744e-01	8.31867481e-01	-8.28526307e-01	-4.15346244e-01	-4.13180063e-01	-1.08309070e-03	4.14263154e-03	8.36010112e-03	3.11463493e-17	8.36010112e-03	-8.36010112e-03
126.398         	1.67434028e+00	8.41323364e-01	8.33016912e-01	-8.30645206e-01	-4.16401743e-01	-4.14243463e-01	-1.07914043e-03	4.15322603e-03	8.37170138e-03	3.11457507e-17	8.37170138e-03	-8.37170138e-03
127.398         	1.67656735e+00	8.42446466e-01	8.34120883e-01	-8.32558284e-01	-4.17354075e-01	-4.15204209e-01	-1.07493280e-03	4.16279142e-03	8.38283674e-03	3.11452504e-17	8.38283674e-03	-8.38283674e-03
128.398         	1.67873172e+00	8.43537333e-01	8.35194391e-01	-8.34294142e-01	-4.18217562e-01	-4.16076580e-01	-1.07049129e-03	4.17147071e-03	8.39365862e-03	3.11447188e-17	8.39365862e-03	-8.39365862e-03
129.398         	1.68082468e+00	8.44591605e-01	8.36233076e-01	-8.35852961e-01	-4.18992317e-01	-4.16860644e-01	-1.06583644e-03	4.17926480e-03	8.40412341e-03	3.11441933e-17	8.40412341e-03	-8.40412341e-03
130.398         	1.68285878e+00	8.45615705e-01	8.37243080e-01	-8.37262424e-01	-4.19692198e-01	-4.17570225e-01	-1.06098649e-03	4.18631212e-03	8.41429392e-03	3.11436617e-17	8.41429392e-03	-8.41429392e-03
131.398         	1.68482550e+00	8.46605370e-01	8.38220129e-01	-8.38524081e-01	-4.20317998e-01	-4.18206083e-01	-1.05595768e-03	4.19262041e-03	8.42412750e-03	3.11431568e-17	8.42412750e-03	-8.42412750e-03
